418171178436419584	rt black wom talk rap whit men ppl seem think just hold pain slavery	yes	sexual violence	society belief	opinion
418172865955909632	kansa city hottest club horr rap jok _url_	yes	sexual violence	Self belief	opinion
418182216871841792	downplay situ re slut sham endors sex assault	no
418211771011186689	rap est comendo viv	no
418264878504083456	keep thego stop rap tonight	yes	sexual violence	Personal account	call for action
418265430294155264	omgg know bitch aint rap maggy walkingdead	yes	sexual violence	Third Party Account	metaphor
418280276544872448	bad rap	no	sexual violence	self belief	emotional feeling
418281972101038080	fil complaint twit bm post photo incapacit bw threat rap now gonn contact buddy sourc	yes	sexual violence	Third Party Account	fact reporting
418282369775591424	keep thego stop rap tonight _url_	yes	sexual violence	news	call for action
418288638032506880	don rap trav pleas ll cry	yes	sexual violence	Personal Account	emotional feeling
418292917396983808	cavem first inv rap hot head bitch wak pregn fuck	yes	sexual violence	Third Party Account	metaphor
418310872658747392	hahahah kony wel mah rap ka sakn buka	no
418318307901448193	end rap now	no
418360631436124160	follow wil rap	yes	sexual violence	Personal Account	metaphor
418368774878674944	lik phon rap	yes	sexual violence	self belief	metaphor
418399064015663106	holdap na gwapo girl rap rap rap holdap anong rap holdap lang girl bakit masam bang mag suggest ang land	no
418401222329393152	rt not job coddl educ young black men com viol wom wann teach	yes	sexual violence	self belief	opinion
418408717814874112	many wom believ must beat partn hetero homo rel alik	yes	physical violence	society belief	opinion
418410013607346176	rt sex assault not sex desir viol control humy	yes	sexual violence	self belief	emotional feeling
418421707347460097	sery sex attack edinburgh year old wom victim sery sex assault edin	yes	sexual violence	news	fact reporting
418441771584987136	cha seung won son cha no ah acquit sex assault charg _url_	yes	sexual violence	news	fact reporting
418443712390131712	cha seung won son cha no ah acquit sex assault charg back august pro gam cha _url_	yes	sexual violence	news	fact reporting
418445075170201600	rt wom nee protect men urg rap men nee protect urg kil th	yes	sexual violence	self belief	opinion
418447257755996161	welcom diehardforgirl fierc book fierc wom men attack kindl _url_	yes	sexual violence	news	opinion
418448440524173312	rap disgust crim	yes	sexual violence	self belief	emotional feeling
418462372974854144	don agr fan giv play shit re least week can rap much money safc	yes	sexual violence	society belief	metaphor
418463833032646656	pol investig ga man tweet going rap pass girl _url_	yes	sexual violence	news	fact reporting
418465017982623744	rt estoy pensando de hac algo del estilo si consigo lik en un dejo que rap pero no tengo pelot	no
418467048012775424	real dud think wit lik rap ath on black guy pick girl flo drag	yes	sexual violence	Third Party Account	Harmful action
418470405356388352	rt rap dumb rap innoc person hoe fuck fre	yes	sexual violence	self belief	metaphor
418479262362894336	whit chick com bang door no sho no pant talk can let black dud tryn rap	yes	sexual violence	Personal account	fact reporting
418481220113035264	carl stop pleas eastend omg no rap	yes	sexual violence	Third Party Account	metaphor
418513762555920385	_url_ avery import blog rap stop min skirt blam	yes	sexual violence	news	opinion
418513965941919744	mal duck rap fem duck help	no
418519545490718721	devil rap dat fool dat brought world aint cheap bloody hoe smh wast tweet fuck ment freak	no
418523898334806016	talk rap lead first point abstin key	yes	sexual violence	Self belief	opinion
418524867651059712	cob co pd investig man tweet pict morn say going rap girl http	yes	sexual violence	news	fact reporting
418527341602545664	rt yard penal unnecess rap _url_	yes	sexual violence	Third Party Account	metaphor
418535150046048256	rap	no
418542358104264704	girl mmmm show gonn beat pu baby _url_	no
418544729568325634	tl us rais aw eveslaw evesmark domesticviol osc childabus rap stalk abus not	yes	sexual violence	Personal account	opinion
418547569887694848	pizz won ev cal nam che beat lie fak rap girl dat	yes	sexual violence	Self belief	opinion
418551894387064832	callmeoldfash think marry com childr	no
418553383474450432	peopl fuck idiot rap alway rap fault someon	yes	sexual violence	Self belief	opinion
418555527954989057	baltim city pol nee help loc sex assault suspect _url_ _url_	yes	sexual violence	news	fact reporting
418594266647392256	m rap	yes	sexual violence	Personal Account	Query
418597143197536256	isn rap	no
418606891359404032	dust assocy ug stak could rap profess dawdl tmetmo	no
418609269429125120	good see bal report imply viol men wom	yes	sexual violence	Third Party Account	opinion
418610224208285697	world com re dat year old rap whol level re dat child	yes	sexual violence	Third Party Account	metaphor
418614978443096065	geeekin retweet stalk ass girl	no
418665850481434624	congress support aap delh saf mla not arrest fals wom not arrest rap http	yes	sexual violence	news	opinion
418668953893105664	hi terr decid includ rap charg avoid jul assang today jok	yes	sexual violence	self belief	opinion
418678847169511424	rap can nev blam victim wis man build glass hous near ston quarry	yes	sexual violence	Self belief	opinion
418684100967284736	urg rap _url_	no
418712592144924672	not giv man accus rap airtim nor extrem unless real new sham bbc	yes	sexual violence	news	emotional feeling
418718114743074816	rt rap dumbest crim ev rap innoc person many hoe day	yes	sexual violence	self belief	opinion
418726398312738816	attn wom fastest way los weight burn fat stop fat produc _url_	no
418726450242416642	attn wom fastest way los weight burn fat stop fat produc _url_	no
419231838838996992	rap mee worldstagenirvan	no
419234985011597312	dud rap drunk fee cat food tel snack mix gon learn today	yes	sexual violence	Personal account	Harmful action
