418171178436419584	rt black women talk rape white men ppl seem think just holding pain slavery	yes	sexual violence	society belief	opinion
418172865955909632	kansas city hottest club horrifying rape joke _url_	yes	sexual violence	Self belief	opinion
418182216871841792	downplaying situation re slut shaming endorsing sexual assault	no
418211771011186689	rape est comendo viva	no
418264878504083456	keep thegoing stop rape tonight	yes	sexual violence	Personal account	call for action
418265430294155264	omggg know bitch aint rape maggie walkingdead	yes	sexual violence	Third Party Account	metaphor
418280276544872448	bad rape	no	sexual violence	self belief	emotional feeling
418281972101038080	filed complaint twitter bm posting photo incapacitated bw threat rape now gonna contact buddy sourc	yes	sexual violence	Third Party Account	fact reporting
418282369775591424	keep thegoing stop rape tonight _url_	yes	sexual violence	news	call for action
418288638032506880	don rape travis please ll cry	yes	sexual violence	Personal Account	emotional feeling
418292917396983808	cavemen first invent rape hot head bitch wakes pregnant fuck	yes	sexual violence	Third Party Account	metaphor
418310872658747392	hahahaha konyat well mahal rape ka sakn bukas	no
418318307901448193	end rape now	no
418360631436124160	follow will rape	yes	sexual violence	Personal Account	metaphor
418368774878674944	like phone rape	yes	sexual violence	self belief	metaphor
418399064015663106	holdaper na gwapo girl rape rape rape holdaper anong rape holdap lang girl bakit masama bang mag suggest ang landi	no
418401222329393152	rt not job coddle educate young black men comes violence women wanna teach	yes	sexual violence	self belief	opinion
418408717814874112	many women believe must beaten partners hetero homo relationships alike	yes	physical violence	society belief	opinion
418410013607346176	rt sexual assault not sexual desire violence control humiliation	yes	sexual violence	self belief	emotional feeling
418421707347460097	serious sex attack edinburgh year old woman victim serious sexual assault edin	yes	sexual violence	news	fact reporting
418441771584987136	cha seung won son cha no ah acquitted sexual assault charges _url_	yes	sexual violence	news	fact reporting
418443712390131712	cha seung won son cha no ah acquitted sexual assault charges back august pro gamer cha _url_	yes	sexual violence	news	fact reporting
418445075170201600	rt women need protect men urge rape men need protect urge kill th	yes	sexual violence	self belief	opinion
418447257755996161	welcome diehardforgirls fierce books fierce women men attacked kindle _url_	yes	sexual violence	news	opinion
418448440524173312	rape disgusting crime	yes	sexual violence	self belief	emotional feeling
418462372974854144	don agree fans giving players shite re least week can rape much money safc	yes	sexual violence	society belief	metaphor
418463833032646656	police investigating ga man tweeted going rape passed girl _url_	yes	sexual violence	news	fact reporting
418465017982623744	rt estoy pensando de hacer algo del estilo si consigo likes en un dejo que rape pero no tengo pelot	no
418467048012775424	real dude think witnessed like rapes athens one black guy picked girl floor dragged	yes	sexual violence	Third Party Account	Harmful action
418470405356388352	rt rape dumb rape innocent person hoes fucking free	yes	sexual violence	self belief	metaphor
